x : y : Z 
-0.495, 1.179, 9.005
-0.495, 1.179, 9.005
-0.505, 1.083, 9.225
-0.505, 1.083, 9.225
-0.457, 1.169, 9.139
-0.4, 1.112, 9.311
-0.4, 1.112, 9.311
-0.4, 1.112, 9.311
-0.38, 1.064, 9.436
-0.38, 1.064, 9.436
-0.361, 1.074, 9.426
-0.419, 1.121, 9.445
-0.419, 1.121, 9.445
-0.438, 1.131, 9.407
-0.39, 1.15, 9.417
-0.39, 1.15, 9.426
-0.39, 1.15, 9.426
-0.313, 1.15, 9.464
-0.266, 1.121, 9.292
-0.266, 1.121, 9.292
-0.18, 1.035, 9.206
-0.18, 1.035, 9.206
-0.199, 1.083, 9.024
-0.266, 1.16, 8.938
-0.266, 1.16, 8.938
-0.323, 1.294, 8.861
-0.323, 1.294, 8.861
-0.38, 1.466, 9.062
-0.438, 1.504, 9.292
-0.438, 1.504, 9.292
-0.486, 1.514, 9.426
-0.543, 1.552, 9.436
-0.543, 1.552, 9.436
-0.38, 1.437, 9.445
-0.38, 1.437, 9.445
-0.361, 1.418, 9.455
-0.323, 1.294, 9.551
-0.323, 1.294, 9.551
-0.285, 1.188, 9.57
-0.275, 1.255, 9.666
-0.275, 1.255, 9.666
-0.275, 1.332, 9.828
-0.275, 1.332, 9.828
-0.285, 1.303, 9.905
-0.294, 1.323, 9.876
-0.294, 1.323, 9.876
-0.285, 1.284, 9.876
-0.199, 1.198, 9.618
-0.199, 1.198, 9.618
-0.18, 1.208, 9.464
-0.199, 1.323, 9.417
-0.19, 1.342, 9.474
-0.19, 1.342, 9.474
-0.208, 1.323, 9.598
-0.208, 1.323, 9.598
-0.256, 1.37, 9.713
-0.256, 1.38, 9.809
-0.256, 1.38, 9.809
-0.256, 1.38, 9.752
-0.323, 1.581, 9.579
-0.323, 1.581, 9.579
-0.4, 1.725, 9.455
-0.495, 1.773, 9.474
-0.524, 1.926, 9.244
-0.524, 1.926, 9.244
-0.562, 1.955, 9.091
-0.582, 2.07, 8.938
-0.582, 2.07, 8.938
-0.524, 2.098, 8.861
-0.524, 2.098, 8.861
-0.515, 2.012, 8.775
-0.419, 1.945, 8.89
-0.419, 1.945, 8.89
-0.4, 1.926, 9.014
-0.342, 1.849, 9.139
-0.342, 1.849, 9.139
-0.313, 1.83, 9.12
-0.313, 1.83, 9.12
-0.294, 1.84, 9.014
-0.266, 1.773, 8.871
-0.266, 1.773, 8.871
-0.208, 1.667, 8.708
-0.227, 1.658, 8.679
-0.227, 1.658, 8.679
-0.227, 1.658, 8.679
-0.218, 1.639, 8.65
-0.218, 1.639, 8.65
-0.18, 1.648, 8.861
-0.18, 1.648, 8.861
-0.18, 1.639, 9.024
-0.18, 1.648, 9.081
-0.18, 1.648, 9.081
-0.19, 1.696, 9.014
-0.208, 1.725, 8.794
-0.256, 1.926, 8.363
-0.256, 1.926, 8.363
-0.285, 1.974, 8.114
-0.266, 1.983, 8.124
-0.352, 2.089, 8.181
-0.352, 2.089, 8.181
-0.323, 2.06, 8.392
-0.294, 1.974, 8.401
-0.294, 1.974, 8.401
-0.237, 1.888, 8.421
-0.237, 1.888, 8.421
-0.19, 1.782, 8.325
-0.19, 1.782, 8.325
-0.132, 1.715, 8.248
-0.113, 1.715, 8.277
-0.113, 1.715, 8.277
-0.104, 1.639, 8.277
-0.132, 1.686, 8.612
-0.132, 1.686, 8.612
-0.104, 1.639, 8.65
-0.065, 1.581, 8.497
-0.065, 1.581, 8.497
-0.027, 1.543, 8.239
-0.027, 1.543, 8.239
-0.094, 1.572, 7.961
-0.094, 1.572, 7.961
-0.056, 1.629, 7.98
